omega,n_sites,n_taxa,rep,branch,NOE,pvalue,ICEnorm,is_fg
1.5,500,8,3,C,0.02874999999999999,0.56,0.2025365764863592,False
1.5,500,8,3,D,-0.12125,0.92,0.1917985657266884,False
1.5,500,8,3,E,0.07499999999999998,0.3,0.19465306269055935,False
1.5,500,8,3,F,-0.010000000000000012,0.82,0.19303467113256953,False
1.5,500,8,3,G,0.14375,0.16,0.18761817263715075,False
1.5,500,8,3,H,-0.056250000000000015,0.76,0.18714750817153517,False
1.5,500,8,4,A,0.11277777777777782,0.08,0.19620453393283874,True
1.5,500,8,4,B,-0.060972222222222226,0.66,0.21591223711453336,False
1.5,500,8,4,C,0.06777777777777783,0.3,0.1843975844088053,False
1.5,500,8,4,D,0.13277777777777777,0.14,0.20701341132674425,False
1.5,500,8,4,E,-0.062222222222222213,0.68,0.18635400816195152,False
1.5,500,8,4,F,0.06527777777777782,0.36,0.20028461615694754,False
1.5,500,8,4,G,-0.16972222222222225,0.9,0.17635793691688575,False
1.5,500,8,4,H,-0.04847222222222222,0.7,0.1828175615264276,False
1.5,500,8,5,A,0.08097222222222222,0.1,0.20541079737689627,True
1.5,500,8,5,B,0.009722222222222188,0.36,0.21246940593127786,False
1.5,500,8,5,C,-0.2190277777777778,0.86,0.17152558478130284,False
1.5,500,8,5,D,-0.044027777777777784,0.54,0.19721195200176303,False
1.5,500,8,5,E,0.08347222222222221,0.22,0.19518914932020603,False
1.5,500,8,5,F,-0.08777777777777779,0.62,0.1807291900149414,False
1.5,500,8,5,G,-0.12527777777777777,0.78,0.19217916585864206,False
1.5,500,8,5,H,0.12722222222222226,0.04,0.22662879245122683,False
1.5,500,8,6,A,-0.04222222222222223,0.56,0.19075639319092266,True
1.5,500,8,6,B,-0.11472222222222227,0.84,0.1965911264214495,False
1.5,500,8,6,C,-0.06847222222222218,0.72,0.18388500751190767,False
1.5,500,8,6,D,0.1290277777777778,0.14,0.23169547516055758,False
1.5,500,8,6,E,0.21277777777777784,0.02,0.18405109915120163,False
1.5,500,8,6,F,0.09527777777777777,0.24,0.19666176233684096,False
1.5,500,8,6,G,-0.04597222222222222,0.82,0.18182470614697033,False
1.5,500,8,6,H,-0.13597222222222224,0.92,0.18037330545562352,False
1.5,500,8,7,A,0.07847222222222225,0.26,0.19766558147225696,True
1.5,500,8,7,B,-0.020277777777777783,0.6,0.19530020022999608,False
1.5,500,8,7,C,0.30347222222222225,0.0,0.2621548289102981,False
1.5,500,8,7,D,-0.1415277777777778,0.92,0.17954363873408757,False
1.5,500,8,7,E,0.13222222222222224,0.14,0.2211644094054338,False
1.5,500,8,7,F,-0.0727777777777778,0.72,0.19575835838232608,False
1.5,500,8,7,G,-0.10527777777777779,0.86,0.21032501671061624,False
1.5,500,8,7,H,-0.2227777777777778,1.0,0.1750659046977861,False
1.5,500,8,8,A,0.13583333333333333,0.06,0.20641673955949016,True
1.5,500,8,8,B,-0.1379166666666667,0.84,0.19602620525875655,False
1.5,500,8,8,C,0.14083333333333334,0.1,0.20994928840961502,False
1.5,500,8,8,D,0.019583333333333335,0.38,0.21572605656591762,False
1.5,500,8,8,E,0.16458333333333333,0.06,0.21662472884725822,False
1.5,500,8,8,F,-0.1791666666666667,0.94,0.21271856951102042,False
1.5,500,8,8,G,-0.12916666666666665,0.84,0.17478326525962037,False
1.5,500,8,8,H,0.1683333333333334,0.02,0.2287599926981536,False
1.5,500,8,9,A,-0.013888888888888867,0.58,0.20837388494224976,True
1.5,500,8,9,B,0.03486111111111109,0.2,0.1767233268679018,False
1.5,500,8,9,C,0.0036111111111111066,0.42,0.19525327805850687,False
1.5,500,8,9,D,-0.040138888888888904,0.44,0.1865212106893933,False
1.5,500,8,9,E,0.059861111111111164,0.3,0.1846756415789386,False
1.5,500,8,9,F,0.07361111111111113,0.2,0.20906510371793902,False
1.5,500,8,9,G,-0.16013888888888891,0.82,0.18262806262800707,False
1.5,500,8,9,H,-0.013888888888888909,0.52,0.21173937946167412,False
1.5,500,8,10,A,0.018888888888888886,0.48,0.19091620390522185,True
1.5,500,8,10,B,0.06888888888888889,0.32,0.20105115358541145,False
